" For e-Receipt: verify Client ID/Secret, environment (prod), and POS Device Serial on Branch.",ID POS — بند واجهة
" For e-Receipt: wrong Client ID/Secret, or preprod credentials used on production.",ID — بند واجهة
0100,0100
1. On invoicing.eta.gov.eg register POS device with serial {0} (exact match).,1. POS — بند واجهة
1000,1000
1100,1100
15-digit UAE Tax Registration Number (TIN). Copied to Tax Registration if empty on save.,UAE — بند واجهة
2. Use Client ID/Secret created for that POS device (not B2B e-Invoice credentials).,2. ID POS — بند واجهة
"3. If ETA gave a Pre-Shared Key, paste it in Branch → POS Pre-Shared Key.",3. ETA POS — بند واجهة
380,380
381,381
4. POS OS Version = windows for production (do not use os in prod).,4. POS — بند واجهة
480,480
5. Taxpayer profile must allow e-Receipt (B2C / receipt tag on ETA).,5. يجب أن بند واجهة بند واجهة / ETA — بند واجهة.
A Signing Profile already exists for company {0}.,بند واجهة
A Tax Authority Profile already exists for company {0}.,بند واجهة
A1 private key (a1_private_key_pem) is required.,بند واجهة
a1_certificate_pem,بند واجهة
a1_private_key_pem,بند واجهة
Accepted,مقبول
Accounting,المحاسبة
Accounts Manager,بند واجهة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Acknowledgement Code,بند واجهة
Actions,إجراءات
Adapter,بند واجهة
Adapter Configuration,بند واجهة
Adapter is required.,بند واجهة
Additional Address Info,إضافي العنوان معلومات
Administrator,المسؤول
AE,AE
AEAT / VeriFactu UAT ready.,بند واجهة / بند واجهة
aeat_base_url,بند واجهة
Agent /health OK.,بند واجهة
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
ALM,إدارة الأصول والخصوم
Already accepted by ETA. Use force only to resubmit after rejection.,ETA — بند واجهة
API,واجهة API
API Base URL,API URL — بند واجهة
API Base URL is required for live production ({0}).,API URL — بند واجهة
API Base URL missing on Country Tax Settings (UAE).,API URL UAE — بند واجهة
API Base URL missing on Country Tax Settings.,API URL — بند واجهة
AR,AR
Archive Paths,بند واجهة
ASP API Key (Bearer),API — بند واجهة
ASP signing private key (asp_signing_private_key_pem) is required.,بند واجهة
ASP Submit Path,بند واجهة
ASP URL reachable ({0}). Signing key present — ready for ASP UAT.,URL — بند واجهة — بند واجهة
asp_signing_private_key_pem,بند واجهة
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
At least one invoice line is required.,بند واجهة
At least one receipt line item is required.,بند واجهة
Attachments,المرفقات
Audit,التدقيق
Authentication failed; refresh ETA token or check credentials.,ETA — بند واجهة
Authority Status,بند واجهة
Authority UUID,UUID — بند واجهة
authority_base_url or API Base URL,API URL — بند واجهة
authority_uuid is required for ETA cancel operation.,ETA — بند واجهة
Auto-submit on Sales Invoice Submit,بند واجهة
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
BE,BE
BH,BH
Billing & collections,الفوترة والتحصيل
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
BR,BR
Branch,الفرع
Branch country is not SA.,بند واجهة
Branch is mandatory for ETA. Set Branch on the invoice or configure Egypt ETA on the branch.,ETA ETA — بند واجهة
Branch is required for e-Invoice.,الفرع is مطلوب لـ e فاتورة.
Branch is required for ETA billing types.,ETA — بند واجهة
Branch is required for ETA send.,ETA — بند واجهة
Branch is required for ZATCA.,الفرع is مطلوب لـ ZATCA.
Branch is required on the Sales Invoice.,بند واجهة
Branch is required. Set Branch on the source document.,بند واجهة
Branch name is required.,الفرع الاسم is مطلوب .
Branch signer mode is not Signing Agent.,بند واجهة
Branch {0} does not exist.,الفرع {0} غير موجود.
Branch {0} found.,بند واجهة
Branch {0} is not a Saudi (SA) branch.,بند واجهة
Branch → Egypt ETA → Test USB Signing,ETA — بند واجهة
